index,type,start_ms,duration_ms,units
478,SPACE,309.820688,0.412062,1
479,MARK,310.232750,0.388313,1
480,SPACE,310.621062,0.413813,1
481,MARK,311.034875,0.388063,1
482,SPACE,311.422937,0.411937,1
483,MARK,311.834875,0.388313,1
484,SPACE,312.223187,1.343313,3
485,MARK,313.566500,2.062688,5
486,SPACE,315.629188,0.415438,1
487,MARK,316.044625,0.386813,1
488,SPACE,316.431438,0.411687,1
489,MARK,316.843125,0.387812,1
490,SPACE,317.230937,0.826750,2
491,MARK,318.057688,0.774625,2
492,SPACE,318.832313,0.412438,1
493,MARK,319.244750,0.904875,2
494,SPACE,320.149625,0.412062,1
495,MARK,320.561688,0.388063,1
496,SPACE,320.949750,0.413562,1
497,MARK,321.363313,0.387688,1
498,SPACE,321.751000,0.928187,2
499,MARK,322.679188,1.421938,3
500,SPACE,324.101125,0.413438,1
501,MARK,324.514563,0.386938,1
502,SPACE,324.901500,0.413813,1
503,MARK,325.315313,0.387937,1
504,SPACE,325.703250,0.412062,1
505,MARK,326.115312,0.388937,1
506,SPACE,326.504250,1.342687,3
507,MARK,327.846937,1.933812,5
508,SPACE,329.780750,0.414062,1
509,MARK,330.194813,0.517063,1
510,SPACE,330.711875,0.412875,1
511,MARK,331.124750,0.386625,1
512,SPACE,331.511375,0.826750,2
513,MARK,332.338125,0.775375,2
514,SPACE,333.113500,0.411562,1
515,MARK,333.525063,0.905000,2
516,SPACE,334.430063,0.413375,1
517,MARK,334.843437,0.386750,1
518,SPACE,335.230187,0.413500,1
519,MARK,335.643687,0.387750,1
520,SPACE,336.031437,0.928187,2
521,MARK,336.959625,1.292938,3
522,SPACE,338.252563,0.412938,1
523,MARK,338.665500,0.516437,1
524,SPACE,339.181937,0.414812,1
525,MARK,339.596750,0.386938,1
526,SPACE,339.983688,0.412062,1
527,MARK,340.395750,0.388813,1
528,SPACE,340.784562,1.342875,3
529,MARK,342.127438,1.934625,5
530,SPACE,344.062062,0.413187,1
531,MARK,344.475250,0.388188,1
532,SPACE,344.863437,0.412438,1
533,MARK,345.275875,0.515938,1
534,SPACE,345.791812,0.827937,2
535,MARK,346.619750,0.774188,2
536,SPACE,347.393938,0.411625,1
537,MARK,347.805563,0.775938,2
538,SPACE,348.581500,0.413125,1
539,MARK,348.994625,0.516062,1
540,SPACE,349.510687,0.414437,1
541,MARK,349.925125,0.386813,1
542,SPACE,350.311937,0.928250,2
543,MARK,351.240188,1.293813,3
544,SPACE,352.534000,0.411937,1
545,MARK,352.945937,0.387437,1
546,SPACE,353.333375,0.414812,1
547,MARK,353.748187,0.515938,1
548,SPACE,354.264125,0.414250,1
549,MARK,354.678375,0.386625,1
550,SPACE,355.065000,1.342875,3
551,MARK,356.407875,1.934500,5
552,SPACE,358.342375,0.413375,1
553,MARK,358.755750,0.388875,1
554,SPACE,359.144625,0.411750,1
555,MARK,359.556375,0.387375,1
556,SPACE,359.943750,0.827313,2
557,MARK,360.771063,0.903375,2
558,SPACE,361.674438,0.411687,1
559,MARK,362.086125,0.776813,2
560,SPACE,362.862937,0.412125,1
561,MARK,363.275063,0.386875,1
562,SPACE,363.661937,0.414625,1
563,MARK,364.076562,0.515938,1
564,SPACE,364.592500,0.930375,2
565,MARK,365.522875,1.291438,3
566,SPACE,366.814313,0.412125,1
567,MARK,367.226437,0.388250,1
568,SPACE,367.614688,0.413875,1
569,MARK,368.028562,0.387000,1
